Unixtime, RawVoltage, boardtemp, Lat, long, Alt, Speed, Course, Satelites, SecondsToFix, hAccuracy, vAccuracy, DateTime, CalcVoltage, CalcLat, CalcLong,
1604407608, 122, 25, 513868903, -4080598, 19, 0, 11, 9, 1, 6904, 9627, 2020-11-03 12:46:48, 3.7176470588235295, 51.3868903, -0.4080598, 
1604407688, 121, 24, 513868131, -4081014, 10, 13, 6, 9, 1, 27560, 38892, 2020-11-03 12:48:08, 3.711764705882353, 51.3868131, -0.4081014, 
1604407748, 121, 24, 513870144, -4080366, 41, 4, 14, 9, 1, 35358, 50017, 2020-11-03 12:49:08, 3.711764705882353, 51.3870144, -0.4080366, 
1604407808, 121, 24, 513869929, -4080773, 25, 1, 9, 8, 1, 43505, 56998, 2020-11-03 12:50:08, 3.711764705882353, 51.3869929, -0.4080773, 
1604407868, 122, 24, 513868883, -4081627, 26, 9, 240, 9, 1, 30233, 49460, 2020-11-03 12:51:08, 3.7176470588235295, 51.3868883, -0.4081627, 
1604407929, 123, 24, 513867003, -4081123, -3, 18, 5, 7, 2, 60086, 73953, 2020-11-03 12:52:09, 3.723529411764706, 51.3867003, -0.4081123, 
1604407988, 123, 24, 513870785, -4081238, 39, 10, 0, 8, 1, 30208, 41453, 2020-11-03 12:53:08, 3.723529411764706, 51.3870785, -0.4081238, 
1604408048, 124, 24, 513870347, -4081837, 47, 11, 5, 8, 1, 38552, 54552, 2020-11-03 12:54:08, 3.7294117647058824, 51.3870347, -0.4081837, 
1604408108, 124, 24, 513870278, -4081841, 47, 10, 3, 9, 1, 21092, 27968, 2020-11-03 12:55:08, 3.7294117647058824, 51.3870278, -0.4081841, 
1604408168, 124, 25, 513869693, -4081623, 38, 8, 3, 9, 1, 16190, 22218, 2020-11-03 12:56:08, 3.7294117647058824, 51.3869693, -0.4081623, 
1604408228, 124, 25, 513870144, -4081887, 45, 7, 1, 9, 1, 23515, 33116, 2020-11-03 12:57:08, 3.7294117647058824, 51.3870144, -0.4081887, 
1604408288, 122, 24, 513869737, -4081253, 33, 5, 3, 9, 1, 25879, 35825, 2020-11-03 12:58:08, 3.7176470588235295, 51.3869737, -0.4081253, 
1604408348, 122, 24, 513870925, -4081329, 41, 8, 6, 7, 1, 26759, 35138, 2020-11-03 12:59:08, 3.7176470588235295, 51.3870925, -0.4081329, 
1604408408, 122, 24, 513869980, -4081250, 25, 14, 11, 7, 1, 29612, 38267, 2020-11-03 13:00:08, 3.7176470588235295, 51.386998, -0.408125, 
1604408468, 122, 24, 513865236, -4080392, -30, 7, 5, 6, 1, 42213, 50000, 2020-11-03 13:01:08, 3.7176470588235295, 51.3865236, -0.4080392, 
1604408528, 122, 24, 513870957, -4080645, 30, 3, 13, 5, 1, 25795, 30913, 2020-11-03 13:02:08, 3.7176470588235295, 51.3870957, -0.4080645, 
1604408588, 122, 24, 513869426, -4080898, 19, 8, 14, 6, 1, 22833, 30332, 2020-11-03 13:03:08, 3.7176470588235295, 51.3869426, -0.4080898, 
1604408648, 124, 24, 513870088, -4080851, 25, 17, 14, 5, 1, 28254, 36346, 2020-11-03 13:04:08, 3.7294117647058824, 51.3870088, -0.4080851, 
1604408713, 124, 25, 513870102, -4081249, 34, 30, 14, 5, 6, 59199, 67263, 2020-11-03 13:05:13, 3.7294117647058824, 51.3870102, -0.4081249, 
1604408768, 124, 24, 513870147, -4080679, 25, 9, 11, 6, 1, 33362, 39961, 2020-11-03 13:06:08, 3.7294117647058824, 51.3870147, -0.4080679, 
1604408828, 122, 24, 513868809, -4081633, 7, 6, 43, 7, 1, 29197, 32704, 2020-11-03 13:07:08, 3.7176470588235295, 51.3868809, -0.4081633, 
1604408888, 122, 24, 513868208, -4081446, 2, 2, 36, 8, 1, 29653, 37960, 2020-11-03 13:08:08, 3.7176470588235295, 51.3868208, -0.4081446, 
1604408948, 122, 24, 513870232, -4081539, 29, 7, 15, 7, 1, 28943, 31241, 2020-11-03 13:09:08, 3.7176470588235295, 51.3870232, -0.4081539, 
